,Unnamed: 0,PSU,contraceptive_No,contraceptive_Yes,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,dt_Jointly,dt_rest,edu_noedu,edu_primary,edu_secondary,edu_higher,rel_Hindu,rel_nonHindu,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,caste_OBC,caste_SC,caste_ST,caste_Others,residence_rural,residence_urban,counselling_no,counselling_yes,parity_0,parity_1_2,parity_3,sum(mediaFP),outlier
0,1,330003,11,5,0,5,4,2,2,2,1,5,11,8,2,6,0,16,0,1,1,7,5,2,14,2,0,0,16,0,11,5,2,8,6,0,No
1,2,330005,12,5,1,3,4,4,3,0,2,9,8,5,3,5,4,16,1,3,3,2,5,4,8,2,0,7,17,0,14,3,3,6,8,1,No
2,3,330008,10,9,0,3,2,4,3,4,3,8,11,6,5,5,3,19,0,0,0,4,4,11,16,2,0,1,0,19,19,0,3,9,7,0,No
3,4,330010,15,9,0,7,5,3,1,3,5,12,12,11,5,7,1,24,0,2,5,5,7,5,14,3,0,7,24,0,6,18,2,7,15,0,No
4,5,330011,13,3,1,4,4,4,2,0,1,4,12,7,1,4,4,16,0,3,3,5,2,3,6,3,0,7,16,0,9,7,5,3,8,5,No
5,6,330012,19,1,0,8,2,5,3,1,1,1,19,15,2,3,0,12,8,9,10,0,0,1,5,2,7,6,20,0,16,4,5,7,8,3,No
6,7,330014,15,3,1,4,2,3,2,6,0,3,15,11,2,5,0,8,10,4,4,6,1,3,6,7,0,5,0,18,16,2,5,2,11,0,No
7,8,330017,13,10,1,6,2,4,6,3,1,17,6,9,2,6,6,23,0,5,2,7,3,6,14,4,0,5,23,0,15,8,2,7,14,0,No
8,9,330018,18,3,2,5,4,2,3,2,3,5,16,11,3,6,1,21,0,9,10,2,0,0,13,8,0,0,21,0,10,11,3,8,10,5,No
9,10,330020,11,5,1,0,5,2,2,3,3,4,12,8,4,4,0,13,3,1,8,4,2,1,7,3,2,4,16,0,11,5,2,6,8,2,No
10,11,330021,6,6,1,1,3,2,4,1,0,4,8,3,1,5,3,12,0,0,6,2,3,1,12,0,0,0,12,0,10,2,2,3,7,1,No
11,12,330024,1,6,0,0,1,3,2,1,0,7,0,0,0,1,6,7,0,0,0,0,0,7,4,0,0,3,0,7,7,0,0,7,0,1,No
12,13,330028,9,7,0,2,1,5,4,2,2,6,10,13,1,2,0,16,0,9,6,0,1,0,1,15,0,0,16,0,15,1,0,1,15,0,No
13,14,330030,18,3,1,4,4,6,2,1,3,7,14,9,3,6,3,20,1,1,7,4,5,4,13,2,0,6,21,0,10,11,4,7,10,0,No
14,15,330032,16,5,0,5,5,3,3,4,1,7,14,10,8,3,0,0,21,0,0,5,12,4,12,0,0,9,0,21,10,11,3,6,12,0,No
15,16,330033,7,11,0,1,5,8,2,1,1,14,4,1,3,9,5,18,0,0,0,0,0,18,3,5,0,10,0,18,18,0,1,14,3,0,No
16,17,330034,9,8,0,3,5,2,4,3,0,8,9,13,3,1,0,4,13,1,4,6,5,1,11,4,0,2,17,0,13,4,1,5,11,0,No
17,18,330035,13,3,3,2,6,1,1,1,2,7,9,6,5,5,0,7,9,5,5,4,2,0,12,0,0,4,16,0,7,9,3,6,7,0,No
18,19,330037,17,3,0,4,4,5,3,2,2,3,17,15,4,1,0,0,20,1,1,10,4,4,18,0,2,0,0,20,15,5,1,6,13,0,No
19,20,330038,13,1,0,3,1,0,4,4,2,5,9,11,2,1,0,0,14,2,2,5,4,1,4,0,1,9,14,0,12,2,1,3,10,0,No
20,21,330040,11,8,1,1,1,6,4,3,3,11,8,7,6,6,0,19,0,1,2,1,6,9,5,14,0,0,0,19,18,1,1,5,13,1,No
21,22,330041,12,5,1,2,4,1,2,2,5,8,9,7,4,4,2,13,4,1,2,5,9,0,5,7,0,5,17,0,14,3,4,5,8,2,No
22,23,330042,17,2,1,3,4,6,3,2,0,1,18,16,2,1,0,17,2,11,6,1,1,0,5,6,6,2,19,0,18,1,1,7,11,0,No
23,24,330044,13,7,1,2,1,8,5,3,0,12,8,11,2,5,2,20,0,9,5,2,4,0,9,10,0,1,20,0,14,6,1,5,14,0,No
24,25,330045,6,6,0,1,3,6,1,0,1,5,7,5,3,4,0,12,0,5,3,0,3,1,8,2,0,2,12,0,3,9,1,1,10,3,No
25,26,330046,12,1,0,0,2,3,4,3,1,2,11,10,3,0,0,0,13,5,5,2,1,0,13,0,0,0,13,0,12,1,1,2,10,0,No
26,27,330047,7,11,2,3,3,4,5,0,1,13,5,4,3,11,0,17,1,0,0,5,3,10,7,7,0,4,0,18,3,15,3,7,8,0,No
27,28,330048,8,6,0,1,3,2,3,3,2,10,4,7,4,3,0,14,0,0,0,0,6,8,0,14,0,0,0,14,14,0,1,4,9,1,No
28,29,330050,13,7,0,0,3,6,4,4,3,10,10,12,1,5,2,20,0,8,5,3,1,3,8,9,0,3,20,0,14,6,1,7,12,2,No
29,30,330051,7,9,0,2,1,5,3,2,3,4,12,11,0,4,1,10,6,4,2,1,9,0,15,0,0,1,16,0,15,1,1,4,11,1,No
30,31,330053,10,6,1,0,4,2,3,4,2,8,8,7,2,7,0,1,15,0,0,1,2,13,11,0,0,5,0,16,12,4,1,6,9,5,No
31,32,330054,25,4,2,7,5,7,2,3,3,14,15,11,5,10,3,29,0,0,4,4,11,10,8,16,0,5,29,0,25,4,2,14,13,2,No
32,33,330055,12,4,0,0,4,3,2,3,4,4,12,5,1,5,5,14,2,1,0,0,5,10,2,4,0,10,0,16,16,0,2,8,6,1,No
33,34,330060,14,3,0,3,4,2,3,2,3,1,16,12,2,3,0,12,5,7,4,4,2,0,7,2,1,7,17,0,14,3,2,4,11,1,No
34,35,330061,6,2,0,1,2,1,1,1,2,2,6,0,0,5,3,5,3,0,0,1,0,7,5,0,0,3,0,8,8,0,1,4,3,0,No
35,36,330063,14,1,0,3,3,3,4,0,2,1,14,7,4,2,2,0,15,0,1,1,13,0,15,0,0,0,0,15,14,1,2,6,7,0,No
36,37,330064,14,8,3,5,3,3,3,4,1,14,8,5,2,11,4,22,0,0,4,2,2,14,10,3,0,9,22,0,18,4,4,8,10,0,No
37,38,330065,11,2,0,3,1,4,3,2,0,2,11,8,1,3,1,13,0,10,1,2,0,0,6,6,0,1,13,0,11,2,1,4,8,0,No
38,39,330066,11,4,1,2,5,3,2,0,2,2,13,6,2,6,1,12,3,3,2,6,2,2,10,2,1,2,15,0,5,10,3,3,9,6,No
39,40,330067,18,2,2,3,6,2,2,4,1,1,19,11,0,9,0,20,0,2,7,7,4,0,17,0,3,0,20,0,7,13,2,7,11,0,No
40,41,330068,17,7,1,6,4,4,4,4,1,6,18,11,1,12,0,24,0,1,4,5,13,1,6,6,0,12,24,0,18,6,4,7,13,0,No
41,42,330069,8,14,1,3,7,2,2,2,5,13,9,16,3,3,0,20,2,0,5,8,9,0,3,0,0,19,22,0,22,0,2,5,15,0,No
42,43,330070,12,6,0,2,7,2,2,1,4,5,13,12,1,5,0,9,9,1,1,7,8,1,10,7,0,1,18,0,14,4,3,7,8,0,No
43,44,330073,14,6,0,5,1,6,2,3,3,7,13,9,3,8,0,20,0,3,6,4,4,3,16,4,0,0,20,0,11,9,2,4,14,0,No
44,45,330074,16,1,0,5,3,3,3,1,2,1,16,7,5,4,1,8,9,6,1,3,5,2,13,0,0,4,17,0,16,1,2,5,10,2,No
45,46,330076,10,6,3,4,2,2,2,3,0,11,5,3,1,9,3,16,0,2,5,2,7,0,3,8,0,5,16,0,12,4,3,7,6,2,No
46,47,330078,2,7,0,0,1,2,1,0,5,7,2,2,0,3,4,9,0,0,0,0,1,8,4,0,0,5,0,9,9,0,1,6,2,2,No
47,48,330079,13,13,0,4,8,3,5,3,3,16,10,14,1,9,2,26,0,1,5,11,9,0,24,2,0,0,0,26,16,10,0,10,16,3,No
48,49,330081,9,11,2,4,2,3,4,3,2,12,8,2,4,12,2,15,5,0,0,0,12,8,8,4,0,8,20,0,15,5,4,5,11,4,No
49,50,330082,13,10,2,5,4,5,1,5,1,14,9,10,7,5,1,12,11,1,0,7,7,8,10,8,0,5,23,0,14,9,2,9,12,0,No
50,51,330086,17,4,0,2,6,4,3,2,4,2,19,14,1,4,2,20,1,5,2,7,4,3,18,3,0,0,21,0,8,13,2,12,7,4,No
51,52,330089,8,6,0,0,2,1,0,5,6,11,3,2,3,5,4,14,0,0,0,0,4,10,9,0,0,5,0,14,12,2,0,7,7,0,No
52,53,330090,18,0,0,10,3,1,1,2,1,2,16,9,6,3,0,1,17,0,1,4,6,7,15,0,0,3,0,18,12,6,4,8,6,0,No
53,54,330092,18,8,0,7,4,4,3,4,4,12,14,13,3,10,0,26,0,1,7,10,6,2,21,3,0,2,26,0,23,3,2,10,14,0,No
54,55,330093,6,20,2,5,5,3,3,3,5,17,9,8,5,11,2,26,0,0,3,5,11,7,8,2,0,16,26,0,22,4,5,10,11,0,No
55,56,330096,12,2,0,3,1,3,0,4,3,4,10,3,0,6,5,0,14,0,0,0,2,12,5,0,0,9,0,14,13,1,2,6,6,0,No
56,57,330097,21,3,0,4,6,4,5,5,0,3,21,8,4,10,2,2,22,3,2,5,7,7,14,3,0,7,0,24,24,0,1,7,16,0,No
57,58,330099,16,3,0,4,3,3,2,3,4,5,14,11,1,4,3,19,0,2,7,10,0,0,9,1,0,9,19,0,18,1,2,7,10,0,No
58,59,330104,10,13,1,3,4,4,3,7,1,14,9,11,2,7,3,23,0,2,3,7,8,3,15,6,0,2,23,0,16,7,2,5,16,1,No
59,60,330108,13,5,0,1,4,3,1,3,6,4,14,0,3,6,9,18,0,0,0,1,3,14,3,1,0,14,0,18,13,5,1,9,8,0,No
60,61,330109,15,10,0,1,6,9,6,0,3,13,12,8,5,9,3,15,10,0,0,4,6,15,15,0,0,10,0,25,16,9,0,13,12,3,No
61,62,330110,9,5,0,2,3,5,2,0,2,4,10,5,4,5,0,9,5,3,3,5,2,1,9,3,0,2,14,0,10,4,1,3,10,0,No
62,63,330111,16,8,0,10,2,4,4,3,1,7,17,5,4,11,4,24,0,4,4,3,6,7,2,8,0,14,24,0,11,13,6,5,13,0,No
63,64,330112,12,9,2,4,2,0,7,4,2,7,14,9,2,10,0,18,3,2,3,14,2,0,10,7,0,4,21,0,16,5,2,6,13,0,No
64,65,330114,9,3,0,3,3,4,1,0,1,2,10,6,5,0,1,12,0,10,1,0,1,0,2,10,0,0,12,0,10,2,2,4,6,0,No
65,66,330115,19,3,0,5,2,4,5,3,3,2,20,12,6,4,0,0,22,1,1,5,11,4,21,0,0,1,0,22,15,7,2,3,17,0,No
66,67,330117,11,3,0,1,1,5,2,4,1,10,4,6,3,5,0,0,14,0,0,1,4,9,6,0,0,8,0,14,11,3,2,4,8,1,No
67,68,330119,3,11,0,3,5,3,2,0,1,11,3,8,1,5,0,14,0,5,8,0,1,0,13,1,0,0,14,0,10,4,0,6,8,0,No
68,69,330120,10,4,0,0,4,3,5,1,1,7,7,0,0,2,12,14,0,0,0,0,0,14,4,0,0,10,0,14,14,0,1,10,3,0,No
69,70,330123,12,4,0,1,5,2,3,3,2,5,11,13,0,3,0,14,2,9,3,4,0,0,13,1,0,2,16,0,13,3,1,3,12,0,No
70,71,330124,9,4,0,1,2,2,6,1,1,5,8,6,0,5,2,13,0,0,0,1,4,8,7,0,0,6,0,13,10,3,1,5,7,1,No
71,72,330128,6,10,0,0,7,1,5,3,0,13,3,0,0,2,14,16,0,0,0,0,0,16,1,4,0,11,0,16,14,2,1,13,2,0,No
72,73,330129,16,4,0,4,5,2,2,3,4,6,14,15,2,3,0,3,17,0,3,8,3,6,8,0,0,12,20,0,16,4,3,5,12,1,No
73,74,330130,15,12,1,7,3,5,5,3,3,11,16,14,1,10,2,26,1,9,9,4,3,2,15,11,0,1,27,0,22,5,3,9,15,1,No
74,75,330132,13,1,2,5,2,1,2,2,0,2,12,9,4,1,0,13,1,8,4,1,1,0,9,3,0,2,14,0,13,1,0,5,9,2,No
75,76,330133,16,3,1,2,6,6,2,1,1,6,13,3,3,11,2,9,10,0,3,6,6,4,2,8,0,9,19,0,16,3,2,7,10,2,No
76,77,330135,15,8,0,8,2,1,6,1,5,8,15,11,1,8,3,22,1,5,7,11,0,0,16,7,0,0,23,0,18,5,3,6,14,1,No
77,78,330138,9,11,0,5,2,4,3,4,2,11,9,6,4,6,4,15,5,0,2,5,10,3,15,2,0,3,20,0,19,1,3,7,10,1,No
78,79,330140,9,5,0,0,7,2,3,1,1,4,10,0,0,4,10,13,1,0,0,0,0,14,5,0,0,9,0,14,11,3,2,11,1,2,No
79,80,330141,7,3,0,0,4,1,1,1,3,3,7,0,1,4,5,2,8,0,0,0,1,9,9,0,0,1,0,10,10,0,2,5,3,0,No
80,81,330142,16,2,0,3,4,6,3,2,0,1,17,4,4,8,2,18,0,2,4,5,5,2,7,3,0,8,18,0,13,5,1,8,9,4,No
81,82,330143,9,8,1,3,3,4,1,0,5,10,7,10,2,4,1,17,0,8,4,3,2,0,11,0,0,6,17,0,13,4,2,4,11,0,No
82,83,330144,6,10,0,1,4,6,2,0,3,6,10,4,3,6,3,9,7,0,0,0,7,9,12,0,0,4,0,16,16,0,1,10,5,0,No
83,84,330149,15,3,0,3,1,2,4,5,3,2,16,11,3,3,1,15,3,5,2,5,5,1,6,5,4,3,18,0,18,0,1,4,13,0,No
84,85,330151,10,4,1,3,2,1,2,3,2,7,7,6,2,6,0,14,0,1,5,3,4,1,10,1,0,3,14,0,10,4,1,5,8,0,No
85,86,330154,13,0,1,0,3,3,5,1,0,0,13,13,0,0,0,9,4,10,2,1,0,0,11,2,0,0,13,0,11,2,1,3,9,0,No
86,87,330159,5,10,0,0,1,1,6,4,3,9,6,7,1,6,1,15,0,1,6,3,1,4,8,6,0,1,15,0,15,0,0,5,10,0,No
87,88,330160,10,8,1,5,4,1,5,0,2,8,10,4,1,10,3,18,0,2,0,2,4,10,0,5,0,13,18,0,10,8,2,12,4,0,No
88,89,330161,12,9,0,3,6,3,4,1,4,14,7,8,7,6,0,14,7,0,2,10,7,2,10,8,0,3,21,0,11,10,2,5,14,0,No
89,90,330162,13,4,0,2,4,3,3,3,2,4,13,10,0,5,2,17,0,9,4,1,0,3,5,11,0,1,17,0,14,3,1,4,12,2,No
90,91,330163,14,11,0,2,4,8,7,4,0,13,12,10,7,5,3,0,25,0,0,0,10,15,15,1,0,9,0,25,15,10,2,8,15,3,Yes
91,92,330164,14,4,1,5,1,6,3,1,1,4,14,7,2,5,4,16,2,4,4,3,2,5,11,5,0,2,0,18,14,4,4,6,8,1,No
92,93,330165,18,5,0,3,4,5,3,3,5,10,13,7,2,8,6,21,2,0,2,3,5,13,18,0,0,5,0,23,21,2,1,10,12,1,No
93,94,330168,10,10,1,3,2,6,6,1,1,16,4,6,5,6,3,20,0,5,6,4,3,2,15,3,0,2,20,0,15,5,2,6,12,6,No
94,95,330169,15,4,0,5,2,3,6,1,2,4,15,8,8,3,0,2,17,1,5,6,7,0,16,0,0,3,19,0,13,6,2,3,14,1,No
95,96,330170,17,10,0,6,9,3,4,3,2,11,16,19,1,4,3,27,0,3,6,6,5,7,27,0,0,0,0,27,14,13,2,7,18,4,No
96,97,330171,12,5,0,2,3,3,3,5,1,6,11,5,2,5,5,0,17,0,0,0,7,10,4,1,0,12,0,17,16,1,2,5,10,0,No
97,98,330172,9,10,0,3,3,4,2,2,5,10,9,4,3,9,3,19,0,1,0,1,5,12,17,2,0,0,19,0,13,6,2,12,5,1,No
98,99,330174,10,3,1,3,2,3,2,2,0,6,7,6,4,3,0,13,0,4,3,5,1,0,3,9,0,1,13,0,9,4,2,4,7,0,No
99,100,330176,21,1,2,4,3,2,4,5,2,1,21,11,2,8,1,14,8,8,0,6,5,3,13,4,0,5,22,0,13,9,3,7,12,0,No
100,101,330179,19,7,0,5,6,7,2,4,2,4,22,9,2,11,4,26,0,3,9,9,5,0,15,11,0,0,26,0,19,7,3,9,14,0,No
101,102,330180,11,12,0,2,7,3,7,2,2,17,6,16,0,6,1,23,0,9,7,5,0,2,17,3,0,3,23,0,14,9,0,7,16,3,No
102,103,330182,6,12,0,2,6,2,0,2,6,15,3,6,2,7,3,18,0,0,0,1,4,13,10,0,0,8,0,18,14,4,2,8,8,0,No
103,104,330188,10,7,1,2,3,3,2,3,3,9,8,10,2,3,2,3,14,1,2,4,5,5,1,2,0,14,0,17,15,2,2,7,8,0,No
104,105,330189,24,1,1,5,4,5,6,3,1,1,24,17,6,2,0,7,18,4,13,4,4,0,15,0,0,10,25,0,15,10,2,10,13,0,No
105,106,330192,17,2,0,5,7,3,1,3,0,5,14,12,2,4,1,13,6,3,7,7,2,0,8,7,1,3,19,0,13,6,1,11,7,3,No
106,107,330193,15,3,0,1,3,5,4,1,4,2,16,9,2,6,1,14,4,1,6,7,4,0,5,9,0,4,18,0,15,3,0,3,15,0,No
107,108,330194,12,1,0,4,2,1,2,3,1,3,10,4,2,4,3,13,0,8,2,1,2,0,4,8,0,1,13,0,10,3,1,6,6,0,No
108,109,330195,8,8,0,3,2,4,4,1,2,8,8,12,1,2,1,16,0,9,7,0,0,0,1,15,0,0,16,0,13,3,1,3,12,1,No
109,110,330197,6,12,0,1,7,2,6,1,1,8,10,10,1,3,4,18,0,1,2,2,6,7,2,12,0,4,0,18,17,1,0,11,7,0,No
110,111,330198,9,4,0,5,2,3,1,0,2,5,8,2,3,6,2,11,2,0,0,1,11,1,7,2,0,4,0,13,12,1,3,4,6,1,No
111,112,330199,14,1,2,3,1,3,2,1,3,2,13,11,0,4,0,9,6,4,5,4,2,0,5,5,0,5,15,0,11,4,2,3,10,0,No
112,113,330200,10,4,1,1,3,2,2,3,2,7,7,6,1,7,0,13,1,0,0,4,5,5,12,0,0,2,14,0,11,3,1,4,9,0,No
113,114,330202,21,2,0,3,4,4,5,3,4,6,17,9,1,10,3,23,0,2,4,11,3,3,19,4,0,0,23,0,19,4,2,8,13,0,No
114,115,330204,11,10,0,2,6,7,3,3,0,12,9,12,2,7,0,1,20,0,0,3,8,10,15,0,0,6,0,21,20,1,2,4,15,0,No
115,116,330210,14,2,0,5,3,1,2,2,3,2,14,5,3,6,2,16,0,7,5,2,2,0,10,4,0,2,16,0,13,3,1,6,9,0,No
116,117,330211,10,5,0,2,4,2,3,3,1,9,6,10,2,3,0,10,5,3,3,7,2,0,12,2,0,1,15,0,12,3,0,6,9,1,No
117,118,330212,10,14,2,5,5,5,0,5,2,16,8,13,3,8,0,24,0,1,6,10,5,2,19,1,0,4,24,0,17,7,3,6,15,0,No
118,119,330216,8,4,0,1,2,2,4,2,1,4,8,2,3,6,1,11,1,0,3,5,4,0,8,4,0,0,12,0,7,5,0,4,8,2,No
119,120,330217,18,4,1,4,3,4,3,2,5,3,19,11,0,6,5,20,2,4,0,5,9,4,15,6,0,1,22,0,21,1,5,3,14,3,No
120,121,330220,8,5,0,0,3,2,3,5,0,6,7,0,0,2,11,13,0,0,0,0,0,13,3,0,0,10,0,13,13,0,4,6,3,6,No
121,122,330222,8,4,0,3,1,1,2,4,1,3,9,5,2,5,0,12,0,3,1,6,1,1,3,3,2,4,12,0,10,2,1,5,6,0,No
122,123,330224,15,2,2,3,3,2,4,2,1,1,16,8,7,2,0,15,2,8,8,1,0,0,5,10,1,1,17,0,8,9,0,8,9,0,No
123,124,330225,15,9,0,3,5,5,2,5,4,9,15,13,3,6,2,20,4,2,8,7,7,0,12,4,1,7,24,0,21,3,1,12,11,2,No
124,125,330227,11,12,2,5,5,3,2,2,4,15,8,13,5,4,1,22,1,2,2,2,9,8,9,12,0,2,0,23,16,7,2,9,12,0,No
125,126,330229,13,5,0,3,5,6,3,1,0,7,11,16,0,2,0,18,0,2,9,3,4,0,14,1,0,3,18,0,10,8,0,5,13,0,No
126,127,330230,11,11,2,4,6,3,2,2,3,15,7,17,2,3,0,2,20,0,2,2,13,5,21,0,0,1,0,22,12,10,3,5,14,0,No
127,128,330235,7,10,1,2,3,3,7,0,1,7,10,5,7,3,2,17,0,7,6,0,4,0,7,5,1,4,17,0,16,1,0,4,13,0,No
128,129,330236,13,4,0,2,2,6,1,3,3,10,7,12,2,2,1,16,1,2,3,5,6,1,9,1,0,7,0,17,10,7,2,3,12,0,No
129,130,330238,13,5,0,3,5,3,4,2,1,9,9,11,1,6,0,18,0,5,3,8,1,1,11,2,0,5,18,0,14,4,2,6,10,0,No
130,131,330242,9,8,0,6,3,2,1,2,3,7,10,11,2,2,2,17,0,0,3,8,6,0,1,2,0,14,17,0,8,9,0,4,13,0,No
131,132,330244,15,2,0,2,2,4,1,2,6,1,16,4,2,7,4,0,17,0,0,0,4,13,15,0,1,1,0,17,17,0,4,3,10,0,No
132,133,330245,15,4,2,3,6,1,4,1,2,8,11,17,1,0,1,0,19,0,0,7,8,4,19,0,0,0,0,19,12,7,2,4,13,2,No
133,134,330246,12,6,0,4,2,2,2,3,5,7,11,10,3,4,1,18,0,4,6,6,1,1,12,5,0,1,18,0,15,3,1,7,10,0,No
134,135,330249,14,8,1,3,4,6,5,2,1,11,11,12,3,7,0,10,12,1,5,6,6,4,13,1,0,8,22,0,11,11,1,10,11,1,No
135,136,330251,15,7,0,3,6,6,4,1,2,14,8,9,7,6,0,22,0,1,5,5,8,3,19,1,0,2,22,0,17,5,1,6,15,0,No
136,137,330253,11,5,0,4,2,3,1,4,2,6,10,5,5,5,1,16,0,3,5,4,3,1,9,4,0,3,16,0,5,11,0,7,9,3,No
137,138,330254,5,9,0,2,5,2,2,2,1,2,12,1,5,7,1,14,0,0,3,5,4,2,4,4,0,6,14,0,11,3,1,5,8,0,No
138,139,330255,11,10,0,2,4,8,2,2,3,5,16,5,6,7,3,19,2,2,3,3,8,5,10,1,0,10,21,0,21,0,2,8,11,15,No
139,140,330256,17,5,1,7,3,1,1,4,5,4,18,8,4,8,2,16,6,6,4,2,8,2,10,8,0,4,22,0,15,7,2,10,10,0,No
140,141,330258,14,8,1,4,5,5,3,3,1,10,12,5,4,11,2,22,0,4,7,3,8,0,13,0,0,9,22,0,14,8,3,9,10,0,No
141,142,330260,22,3,1,5,10,3,2,2,2,11,14,4,2,14,5,4,21,0,0,1,12,12,14,2,0,9,0,25,21,4,5,12,8,0,No
142,143,330262,20,0,1,5,3,3,4,2,2,2,18,14,0,6,0,5,15,3,5,10,2,0,8,5,0,7,20,0,13,7,5,2,13,2,No
143,144,330264,14,1,1,3,7,3,0,0,1,0,15,8,4,3,0,2,13,5,8,0,1,1,9,2,0,4,15,0,12,3,4,3,8,2,No
144,145,330266,15,10,1,3,5,5,1,5,5,11,14,15,3,7,0,2,23,0,0,1,9,15,15,0,0,10,0,25,18,7,2,5,18,0,No
145,146,330267,11,0,0,2,1,5,1,1,1,0,11,5,5,1,0,2,9,3,1,6,0,1,1,1,0,9,0,11,11,0,1,0,10,0,No
146,147,330271,8,3,0,0,3,2,3,3,0,1,10,4,2,5,0,10,1,1,2,7,1,0,10,1,0,0,11,0,8,3,1,1,9,1,No
147,148,330272,22,2,1,5,3,5,5,2,3,8,16,10,0,10,4,24,0,6,3,12,3,0,17,7,0,0,24,0,18,6,4,6,14,0,No
148,149,330274,18,4,1,3,6,3,4,4,1,3,19,21,0,1,0,21,1,9,9,1,3,0,12,8,0,2,22,0,8,14,1,7,14,0,No
149,150,330277,9,7,1,1,2,4,3,4,1,6,10,7,0,7,2,16,0,0,0,3,7,6,8,2,1,5,0,16,16,0,0,7,9,0,No
150,151,330278,12,3,0,3,1,1,2,3,5,3,12,7,4,4,0,15,0,3,4,6,2,0,3,9,0,3,15,0,12,3,2,4,9,0,No
151,152,330280,12,9,0,3,4,6,2,5,1,11,10,3,0,10,8,20,1,0,0,0,0,21,14,2,0,5,0,21,8,13,4,14,3,3,No
152,153,330282,14,3,0,2,3,3,6,3,0,2,15,9,3,3,2,7,10,7,1,2,2,5,13,0,0,4,17,0,14,3,2,4,11,0,No
153,154,330284,14,6,0,8,3,6,0,3,0,6,14,11,1,6,2,20,0,0,8,4,5,3,14,0,1,5,20,0,13,7,5,7,8,2,No
154,155,330286,13,14,0,5,10,6,3,1,2,8,19,9,3,9,6,16,11,1,3,4,3,16,18,1,0,8,0,27,24,3,3,13,11,0,No
155,156,330287,15,8,1,6,4,4,3,2,3,9,14,11,5,6,1,22,1,3,5,8,6,1,20,2,0,1,23,0,7,16,1,7,15,3,No
156,157,330288,17,3,0,7,5,1,4,3,0,3,17,5,4,9,2,11,9,3,8,3,4,2,9,8,0,3,20,0,9,11,1,9,10,0,No
157,158,330290,13,8,1,7,2,2,1,2,6,11,10,11,3,6,1,1,20,0,2,2,2,15,18,1,2,0,0,21,15,6,5,7,9,1,No
158,159,330292,11,5,4,1,4,2,2,1,2,4,12,2,3,9,2,16,0,4,1,5,1,5,0,15,0,1,0,16,11,5,3,8,5,0,No
159,160,330293,13,4,0,2,5,5,2,1,2,5,12,11,3,3,0,7,10,0,2,7,7,1,7,7,0,3,17,0,11,6,1,4,12,0,No
160,161,330294,14,5,0,4,5,3,6,1,0,6,13,15,3,1,0,0,19,0,1,3,8,7,10,0,0,9,0,19,17,2,1,3,15,1,No
161,162,330300,12,8,1,1,7,1,4,1,5,10,10,14,0,3,3,0,20,0,1,1,7,11,7,0,0,13,0,20,16,4,4,7,9,1,No
162,163,330301,14,5,1,2,3,4,3,1,5,8,11,15,3,1,0,0,19,0,3,6,9,1,3,0,0,16,19,0,12,7,3,5,11,0,No
163,164,330302,12,4,1,3,1,2,2,4,3,4,12,11,0,4,1,16,0,4,6,4,2,0,11,5,0,0,16,0,12,4,2,2,12,0,No
164,165,330303,19,3,0,5,5,4,4,0,4,6,16,10,2,6,4,14,8,2,6,8,2,4,21,1,0,0,22,0,17,5,4,9,9,0,No
165,166,330305,14,1,1,2,5,1,1,2,3,1,14,9,1,5,0,15,0,8,3,3,1,0,9,4,0,2,15,0,15,0,4,4,7,1,No
166,167,330306,11,8,0,2,4,5,5,2,1,4,15,13,1,5,0,19,0,6,8,2,2,1,18,0,0,1,19,0,11,8,0,9,10,0,No
167,168,330308,19,1,0,3,7,1,3,3,3,4,16,13,3,3,1,10,10,6,5,3,3,3,8,7,0,5,20,0,11,9,3,6,11,1,No
168,169,330309,7,4,0,1,3,3,2,2,0,3,8,7,0,3,1,10,1,2,1,4,4,0,4,6,0,1,11,0,5,6,0,4,7,0,No
169,170,330310,21,4,0,7,2,6,2,4,4,10,15,16,2,5,2,25,0,1,7,12,3,2,23,0,0,2,25,0,17,8,4,5,16,1,No
170,171,330312,15,4,0,2,6,3,3,5,0,5,14,7,2,6,4,19,0,2,8,9,0,0,5,12,0,2,19,0,16,3,3,6,10,0,No
171,172,330313,8,4,0,0,2,2,3,4,1,5,7,3,0,7,2,12,0,0,0,0,3,9,4,3,1,4,0,12,12,0,0,8,4,0,No
172,173,330314,11,8,0,3,2,7,3,3,1,11,8,7,2,5,5,18,1,0,2,7,10,0,17,1,0,1,0,19,12,7,1,7,11,1,No
173,174,330315,10,1,0,2,2,2,2,2,1,1,10,6,1,3,1,10,1,7,0,2,1,1,4,4,0,3,11,0,9,2,2,3,6,0,No
174,175,330317,7,11,0,4,3,3,4,3,1,12,6,16,1,1,0,18,0,6,6,5,1,0,9,7,0,2,18,0,14,4,0,5,13,1,No
175,176,330320,9,9,0,4,5,2,1,3,3,9,9,11,1,5,1,18,0,3,6,5,3,1,7,10,0,1,18,0,7,11,1,8,9,0,No
176,177,330321,7,12,0,1,5,4,6,1,2,18,1,4,2,12,1,18,1,0,0,0,4,15,7,0,0,12,0,19,15,4,1,11,7,0,No
177,178,330324,16,5,0,2,3,2,5,5,4,6,15,11,3,4,3,21,0,4,2,9,6,0,6,2,0,13,21,0,18,3,2,6,13,0,No
