,Unnamed: 0,PSU,contraceptive_No,contraceptive_Yes,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,dt_Jointly,dt_rest,edu_noedu,edu_primary,edu_secondary,edu_higher,rel_Hindu,rel_nonHindu,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,caste_OBC,caste_SC,caste_ST,caste_Others,residence_rural,residence_urban,counselling_no,counselling_yes,parity_0,parity_1_2,parity_3,sum(mediaFP),outlier
2287,2288,333973,8,6,1,3,5,2,0,1,2,6,8,6,0,8,0,14,0,0,0,0,6,8,9,2,0,3,0,14,14,0,4,7,3,0,No
2288,2289,333974,14,10,1,1,6,5,3,5,3,13,11,5,1,14,4,23,1,0,1,0,6,17,6,5,0,13,0,24,15,9,2,12,10,3,No
2289,2290,333976,7,16,1,4,9,2,0,2,5,12,11,6,8,7,2,23,0,0,0,2,14,7,0,23,0,0,0,23,23,0,5,10,8,0,No
2290,2291,333977,14,6,0,2,6,4,3,2,3,5,15,9,0,9,2,20,0,4,5,6,5,0,12,8,0,0,20,0,16,4,0,5,15,5,No
2291,2292,333979,13,7,0,5,5,2,3,1,4,9,11,4,6,8,2,3,17,1,2,3,4,10,11,0,0,9,0,20,20,0,2,8,10,3,No
2292,2293,333980,9,10,1,2,6,1,6,1,2,13,6,9,7,3,0,1,18,0,0,0,12,7,16,1,0,2,0,19,18,1,1,6,12,0,No
2293,2294,333983,15,12,1,6,3,6,5,3,3,13,14,19,4,4,0,27,0,15,5,1,6,0,17,10,0,0,27,0,19,8,2,6,19,0,No
2294,2295,333984,11,4,0,2,5,3,2,3,0,10,5,5,2,7,1,13,2,2,1,3,5,4,3,9,0,3,15,0,9,6,2,4,9,0,No
2295,2296,333985,24,0,1,6,8,3,4,1,1,0,24,14,6,4,0,18,6,6,10,6,2,0,20,3,0,1,24,0,24,0,5,7,12,0,No
2296,2297,333987,15,4,1,5,4,5,1,3,0,8,11,7,3,7,2,19,0,5,4,5,5,0,19,0,0,0,19,0,14,5,3,11,5,1,No
2297,2298,333988,18,2,0,4,3,1,6,2,4,6,14,11,2,6,1,20,0,8,7,4,1,0,14,4,0,2,20,0,18,2,4,5,11,2,No
2298,2299,333989,6,10,0,3,2,3,3,4,1,7,9,5,1,8,2,15,1,2,6,5,3,0,11,4,0,1,16,0,13,3,1,8,7,0,No
2299,2300,333990,13,3,0,4,4,2,1,1,4,5,11,13,1,2,0,0,16,0,0,2,8,6,16,0,0,0,0,16,7,9,3,1,12,0,No
2300,2301,333993,5,3,0,3,2,1,1,1,0,2,6,3,1,2,2,8,0,3,1,3,1,0,7,0,0,1,8,0,7,1,2,4,2,0,No
2301,2302,333995,3,8,0,0,2,2,3,3,1,6,5,1,0,4,6,11,0,1,0,0,0,10,7,1,0,3,0,11,11,0,1,5,5,7,No
2302,2303,333997,5,9,0,1,1,3,2,3,4,12,2,11,1,2,0,10,4,0,2,2,8,2,9,5,0,0,14,0,5,9,0,2,12,0,No
2303,2304,333998,15,1,0,1,4,1,2,5,3,1,15,6,2,6,2,16,0,4,10,2,0,0,6,9,0,1,16,0,14,2,0,9,7,0,No
2304,2305,334000,22,1,2,5,3,4,5,2,2,1,22,14,1,6,2,22,1,6,9,2,2,4,9,4,0,10,23,0,23,0,7,9,7,3,No
2305,2306,334001,20,0,0,2,2,3,3,6,4,0,20,15,5,0,0,10,10,7,12,1,0,0,7,4,1,8,20,0,19,1,2,2,16,0,No
2306,2307,334002,10,6,0,1,2,4,3,1,5,5,11,12,1,2,1,16,0,7,5,2,2,0,15,0,0,1,16,0,13,3,1,2,13,0,No
2307,2308,334005,9,7,0,2,1,5,5,2,1,7,9,3,1,8,4,15,1,0,0,0,4,12,6,9,0,1,0,16,16,0,2,7,7,1,No
2308,2309,334006,12,2,0,5,3,1,2,3,0,2,12,2,1,10,1,12,2,0,0,1,5,8,5,6,0,3,0,14,12,2,0,8,6,1,No
2309,2310,334007,14,1,1,1,3,2,5,2,1,1,14,6,1,7,1,7,8,3,0,2,7,3,11,1,0,3,0,15,14,1,2,4,9,4,No
2310,2311,334011,10,2,0,1,1,3,5,2,0,3,9,6,2,2,2,11,1,6,3,1,0,2,5,6,0,1,12,0,11,1,1,1,10,2,No
2311,2312,334012,13,4,0,2,2,4,4,3,2,12,5,9,4,2,2,5,12,0,0,5,7,5,4,3,0,10,17,0,3,14,2,6,9,0,No
2312,2313,334014,13,6,0,4,4,2,2,3,4,6,13,7,4,8,0,19,0,3,7,7,2,0,1,15,0,3,19,0,14,5,0,5,14,0,No
2313,2314,334016,10,7,0,2,3,5,2,2,3,7,10,11,3,2,1,5,12,0,3,7,4,3,13,3,0,1,17,0,14,3,3,6,8,1,No
2314,2315,334020,8,9,0,1,5,3,5,3,0,6,11,9,1,6,1,17,0,6,1,3,5,2,14,2,0,1,17,0,13,4,2,6,9,4,No
2315,2316,334022,2,7,0,0,0,3,2,4,0,8,1,0,0,1,8,9,0,0,0,0,0,9,0,0,0,9,0,9,9,0,0,9,0,1,No
2316,2317,334024,10,8,0,3,6,4,4,0,1,6,12,7,0,6,5,18,0,5,5,6,2,0,11,7,0,0,18,0,9,9,2,8,8,3,No
2317,2318,334025,13,5,0,1,3,5,3,3,3,9,9,15,3,0,0,8,10,3,4,8,3,0,14,0,0,4,18,0,11,7,2,3,13,0,No
2318,2319,334026,15,4,0,2,6,4,3,2,2,8,11,11,1,4,3,17,2,5,3,2,7,2,17,2,0,0,19,0,13,6,3,6,10,1,No
2319,2320,334027,11,7,1,2,5,3,3,1,3,5,13,10,3,4,1,18,0,3,4,10,1,0,11,7,0,0,18,0,14,4,2,2,14,0,No
2320,2321,334028,15,0,2,3,1,0,3,3,3,3,12,7,2,5,1,15,0,7,3,4,1,0,6,9,0,0,15,0,9,6,2,3,10,0,No
2321,2322,334029,18,6,0,6,5,6,1,2,4,7,17,15,3,4,2,24,0,4,6,10,4,0,16,6,0,2,24,0,14,10,0,12,12,0,No
2322,2323,334030,7,8,0,0,5,2,5,3,0,6,9,0,0,8,7,15,0,0,0,0,0,15,6,1,0,8,0,15,13,2,2,10,3,2,No
2323,2324,334033,22,0,2,7,3,2,2,4,2,1,21,8,1,12,1,10,12,6,3,2,6,5,5,7,1,9,22,0,20,2,6,7,9,8,No
2324,2325,334034,18,1,1,2,5,1,7,2,1,8,11,3,2,14,0,19,0,1,9,8,1,0,14,2,0,3,19,0,13,6,2,4,13,0,No
2325,2326,334036,11,8,0,4,6,4,3,1,1,8,11,10,2,6,1,18,1,2,2,4,7,4,9,8,0,2,19,0,7,12,1,6,12,0,No
2326,2327,334038,12,5,1,3,2,3,4,1,3,10,7,17,0,0,0,4,13,4,3,8,0,2,14,0,0,3,17,0,5,12,3,2,12,0,No
2327,2328,334039,13,4,1,3,5,6,0,0,2,4,13,11,0,6,0,17,0,10,4,3,0,0,3,2,10,2,17,0,11,6,3,5,9,0,No
2328,2329,334041,25,1,1,6,8,2,1,3,5,0,26,13,2,7,4,26,0,2,3,10,6,5,24,2,0,0,26,0,23,3,5,9,12,0,No
2329,2330,334042,15,5,0,1,5,5,1,3,5,8,12,4,0,14,2,20,0,1,6,3,10,0,1,10,0,9,20,0,17,3,1,9,10,0,No
